timestamp,name,family,variant,notes,verdict,fail_reason,oos_sharpe,oos_ret,selection_note
2026-09-18T13:50:20.771955+00:00,BTC_buyhold,BASE,btc_bh,BTC 100% hold,FAILED,negative_oos_return;non_positive_oos_sharpe,-0.02109490698509708,-0.16613755822242182,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,equal_weight,BASE,ew,Equal-weight universe,FAILED,negative_oos_return;non_positive_oos_sharpe,-0.2870848958219845,-0.577546091908187,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,cash,BASE,cash,100% cash,FAILED,invalid_metrics,,0.0,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,random_top5,BASE,random,Random top-5 long,FAILED,negative_oos_return;non_positive_oos_sharpe,-2.3554312337463688,-0.9653350719609798,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,A_mom_30d,A,mom_30d_top5,XS mom 30d,FAILED,negative_oos_return;non_positive_oos_sharpe,-0.470630695936557,-0.7658460990512268,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,A_mom_7d,A,mom_7d_top5,XS mom 7d,FAILED,negative_oos_return;non_positive_oos_sharpe,-0.33704095798289996,-0.728693497004411,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,B_ma_20_100,B,ma_20_100,TS MA cross,FAILED,negative_oos_return,0.06386210215489134,-0.36790751890539064,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,C_mr_24h,C,mr_24h,24h mean-rev,FAILED,negative_oos_return;non_positive_oos_sharpe;poor_validation,-1.693737692355681,-0.9582417696889818,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,C_mr_72h,C,mr_72h,72h mean-rev,FAILED,negative_oos_return;non_positive_oos_sharpe,-1.4174097873548348,-0.935540979980082,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,D_vol_break,D,comp10d_brk1d,Vol compression breakout,FAILED,negative_oos_return;non_positive_oos_sharpe,-2.118234291089239,-0.9236942360731396,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
